Alewife,163,115
Davis,188,115
Porter Square,220,120
Harvard Square,242,142
Central Square,260,159
Kendall/MIT,282,180
Charles/MGH,301,201
Park Street,315,214
Downtown Crossing,335,234
South Station,357,256
Broadway,362,282
Andrew,362,305
JFK/UMass,363,326
Savin Hill,349,341
Fields Corner,335,360
Shawmut,335,375
Ashmont,334,390
Cedar Grove,334,412
Butler,325,419
Milton,310,420
Central Avenue,295,420
Valley Road,279,421
Capen Street,263,421
Mattapan,249,420
North Quincy,410,412
Wollaston,429,432
Quincy Center,448,451
Quincy Adams,468,471
Braintree,474,514
Oak Grove,335,48
Malden Center,336,65
Wellington,334,85
Sullivan Square,334,109
Community College,335,131
North Station,338,155
Haymarket,354,178
State,354,214
Downtown Crossing,334,234
Chinatown,317,251
New England Medical Center,305,263
Back Bay,294,273
Massachusetts Avenue,285,282
Ruggles,276,292
Roxbury Crossing,266,302
Jackson Square,257,311
Stony Brook,246,321
Green Street,237,331
Forest Hills,227,341
Lechmere,304,132
Science Park,322,152
North Station,333,161
Haymarket,347,178
Government Center,335,194
Park Street,316,215
Boylston,301,229
Arlington,287,235
Copley,270,234
Hynes Convention Center,255,235
Kenmore,241,235
Blandford Street,231,226
Boston University East,227,222
Boston University Central,223,218
Boston University West,220,214
St. Paul Street (1),216,210
Pleasant Street,211,206
Babcock Street,203,204
Packards Corner,198,204
Harvard Avenue,192,204
Griggs Street/Long Avenue,183,204
Allston Street,178,204
Warren Street,172,208
Washington Street,166,213
Sutherland Street,160,219
Chiswick Road,156,223
Chestnut Hill Avenue,151,226
South Street,139,226
Boston College,128,217
St. Marys Street,218,235
Hawes Street,212,235
Kent Street,206,236
St. Paul Street (2),201,235
Coolidge Corner,195,235
Summit Avenue,190,235
Brandon Hall,184,235
Fairbanks,178,236
Washington Square,172,235
Tappan Street,167,235
Dean Road,162,235
Englewood Avenue,155,236
Cleveland Circle,147,235
Fenway,218,245
Longwood,206,256
Brookline Village,193,268
Brookline Hills,170,269
Beaconsfield,154,254
Reservoir,141,243
Chestnut Hill,126,239
Newton Center,115,239
Newton Highlands,101,239
Eliot,88,239
Waban,75,239
Woodland,62,240
Riverside,44,239
Prudential,256,262
Symphony,251,267
Northeastern University,246,271
Museum of Fine Arts,241,275
Longwood Medical Area,238,278
Brigham Circle,234,283
Fenwood Street,229,287
Mission Park,227,293
Riverway,226,299
Back of the Hill,225,306
Heath Street,225,314
Wonderland,506,62
Revere Beach,490,78
Beachmont,476,92
Suffolk Downs,461,107
Orient Heights,446,122
Wood Island,433,135
Airport,419,149
Maverick,404,165
Aquarium,372,197
State,353,213
Government Center,335,195
Bowdoin,320,181
